CustomerID,recency,frequency,monetary,total_quantity,avg_order_value,unique_products,active_days,first_purchase,last_purchase,tenure_days,orders_per_active_day,returned_in_holdout,is_churn_risk
12346,236,1,77183.6,74215,77183.6,1,1,2011-01-18 10:01:00,2011-01-18 10:01:00,1,1.0,0,1
12347,40,5,2790.86,1590,22.50693548387097,82,5,2010-12-07 14:57:00,2011-08-02 08:48:00,237,1.0,1,0
12348,159,3,1487.24,2124,53.11571428571428,22,3,2010-12-16 19:09:00,2011-04-05 10:47:00,109,1.0,1,0
12350,220,1,334.4,197,19.670588235294115,17,1,2011-02-02 16:01:00,2011-02-02 16:01:00,1,1.0,0,1
12352,172,5,1561.81,254,41.10026315789474,26,4,2011-02-16 12:33:00,2011-03-22 16:08:00,34,1.25,1,0
12353,114,1,89.0,20,22.25,4,1,2011-05-19 17:47:00,2011-05-19 17:47:00,1,1.0,0,1
12354,142,1,1079.4,530,18.610344827586207,58,1,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1.0,0,1
12355,124,1,459.4,240,35.33846153846154,13,1,2011-05-09 13:49:00,2011-05-09 13:49:00,1,1.0,0,1
12356,156,2,2753.08,1586,48.29964912280702,53,2,2011-01-18 09:50:00,2011-04-08 12:33:00,80,1.0,1,0
12358,61,1,484.86,100,40.405,12,1,2011-07-12 10:04:00,2011-07-12 10:04:00,1,1.0,1,0
12359,100,3,3495.73,965,24.445664335664336,135,3,2011-01-12 12:43:00,2011-06-03 12:26:00,141,1.0,1,0
12360,23,2,1618.28,674,21.577066666666667,63,2,2011-05-23 09:43:00,2011-08-19 10:10:00,88,1.0,1,0
12361,197,1,189.9,91,18.990000000000002,10,1,2011-02-25 13:51:00,2011-02-25 13:51:00,1,1.0,0,1
12362,30,4,1747.35,988,16.64142857142857,89,4,2011-02-17 10:30:00,2011-08-11 15:02:00,175,1.0,1,0
12363,20,2,552.0,408,24.0,23,2,2011-04-11 13:29:00,2011-08-22 10:18:00,132,1.0,0,1
12364,22,1,623.92,555,18.350588235294115,34,1,2011-08-19 15:24:00,2011-08-19 15:24:00,1,1.0,1,0
12365,201,2,641.38,174,29.153636363636362,22,1,2011-02-21 13:51:00,2011-02-21 14:04:00,1,2.0,0,1
12370,185,3,2802.66,1972,20.309130434782606,125,3,2010-12-14 12:58:00,2011-03-10 12:48:00,85,1.0,1,0
12372,123,2,914.9200000000001,592,23.45948717948718,32,2,2011-02-16 12:46:00,2011-05-11 10:43:00,83,1.0,1,0
12373,221,1,364.6,197,26.042857142857144,14,1,2011-02-01 13:10:00,2011-02-01 13:10:00,1,1.0,0,1
12375,8,1,230.3,87,20.936363636363637,11,1,2011-09-02 14:23:00,2011-09-02 14:23:00,1,1.0,1,0
12377,225,2,1628.12,944,21.144415584415583,72,2,2010-12-20 09:37:00,2011-01-28 15:45:00,39,1.0,0,1
12378,40,1,4008.62,2529,18.30420091324201,219,1,2011-08-02 10:34:00,2011-08-02 10:34:00,1,1.0,0,1
12379,80,1,459.84,211,22.991999999999997,20,1,2011-06-22 16:32:00,2011-06-22 16:32:00,1,1.0,1,0
12380,96,1,607.5500000000001,293,16.87638888888889,36,1,2011-06-07 09:49:00,2011-06-07 09:49:00,1,1.0,1,0
12381,30,1,1268.74,568,20.463548387096775,62,1,2011-08-12 09:57:00,2011-08-12 09:57:00,1,1.0,1,0
12383,95,5,1850.56,1532,18.69252525252525,84,5,2010-12-22 14:28:00,2011-06-08 08:02:00,167,1.0,0,1
12384,32,1,292.69,62,20.90642857142857,14,1,2011-08-10 11:23:00,2011-08-10 11:23:00,1,1.0,1,0
12386,248,2,401.9,354,40.19,10,2,2010-12-08 09:53:00,2011-01-06 12:37:00,29,1.0,0,1
12388,58,4,1668.3400000000001,760,23.833428571428573,50,4,2011-01-17 11:12:00,2011-07-14 13:28:00,178,1.0,1,0
12393,156,3,1061.1000000000001,522,27.207692307692312,33,3,2011-01-11 09:47:00,2011-04-08 09:45:00,86,1.0,1,0
12394,127,1,381.08,182,18.146666666666665,21,1,2011-05-06 14:01:00,2011-05-06 14:01:00,1,1.0,1,0
12395,22,8,1899.57,1629,19.787187499999998,65,8,2010-12-03 16:35:00,2011-08-19 15:18:00,258,1.0,1,0
12397,45,1,1214.81,704,17.35442857142857,70,1,2011-07-27 14:21:00,2011-07-27 14:21:00,1,1.0,1,0
12399,29,4,1108.65,1178,18.790677966101697,47,4,2011-03-23 09:42:00,2011-08-12 13:15:00,142,1.0,0,1
12401,213,1,84.3,11,16.86,5,1,2011-02-09 13:50:00,2011-02-09 13:50:00,1,1.0,0,1
12402,233,1,225.6,94,20.509090909090908,11,1,2011-01-20 13:49:00,2011-01-20 13:49:00,1,1.0,0,1
12405,59,1,1710.39,857,31.67388888888889,54,1,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1.0,0,1
12406,94,1,1621.25,793,33.08673469387755,48,1,2011-06-09 10:23:00,2011-06-09 10:23:00,1,1.0,1,0
12407,44,4,1407.3600000000001,1237,21.990000000000002,50,4,2011-03-20 13:21:00,2011-07-28 16:28:00,130,1.0,1,0
12408,9,4,2134.0499999999997,1044,26.024999999999995,67,3,2011-03-24 14:46:00,2011-09-02 10:27:00,161,1.3333333333333333,1,0
12409,93,1,6207.08,3142,96.985625,64,1,2011-06-10 12:19:00,2011-06-10 12:19:00,1,1.0,1,0
12410,219,2,693.3299999999999,211,26.666538461538458,26,1,2011-02-04 10:38:00,2011-02-04 10:39:00,1,2.0,0,1
12412,48,2,890.74,599,19.794222222222224,34,2,2011-06-23 13:51:00,2011-07-25 11:17:00,31,1.0,1,0
12413,146,2,563.9,205,20.139285714285712,25,2,2011-01-06 16:12:00,2011-04-17 15:33:00,100,1.0,1,0
12414,127,3,562.41,300,31.244999999999997,16,3,2011-02-02 14:51:00,2011-05-06 14:51:00,93,1.0,0,1
12415,9,15,102087.88,66701,170.14646666666667,382,12,2011-01-06 11:12:00,2011-09-01 13:51:00,238,1.25,1,0
12417,17,7,2816.52,1229,19.03054054054054,132,7,2010-12-17 11:51:00,2011-08-25 10:26:00,250,1.0,1,0
12418,23,1,668.58,407,19.664117647058823,34,1,2011-08-19 11:08:00,2011-08-19 11:08:00,1,1.0,0,1
12421,25,3,628.56,407,17.459999999999997,25,3,2011-01-24 15:09:00,2011-08-17 10:56:00,204,1.0,1,0
12422,6,3,803.5600000000001,370,20.604102564102565,39,3,2011-01-19 09:13:00,2011-09-05 09:48:00,229,1.0,0,1
12423,11,7,1650.67,1136,15.283981481481483,86,7,2010-12-21 10:54:00,2011-08-31 08:55:00,252,1.0,1,0
12424,73,2,1760.96,740,58.69866666666667,30,1,2011-06-30 12:06:00,2011-06-30 12:06:00,1,2.0,0,1
12426,105,1,582.73,258,19.424333333333333,30,1,2011-05-29 12:26:00,2011-05-29 12:26:00,1,1.0,0,1
12427,282,1,303.5,79,30.35,10,1,2010-12-03 10:44:00,2010-12-03 10:44:00,1,1.0,1,0
12428,30,8,7548.12,3386,27.054193548387097,252,6,2011-03-01 09:33:00,2011-08-11 12:58:00,163,1.3333333333333333,1,0
12429,83,3,2844.88,1045,40.64114285714286,62,3,2010-12-09 12:05:00,2011-06-20 12:14:00,193,1.0,1,0
12431,29,11,4807.07,2098,26.125380434782606,134,11,2010-12-01 10:03:00,2011-08-12 14:19:00,254,1.0,1,0
12432,80,3,4016.66,1427,52.85078947368421,75,2,2011-06-20 13:27:00,2011-06-22 13:12:00,1,1.5,1,0
12433,1,3,6395.23,5431,28.04925438596491,151,3,2010-12-01 13:24:00,2011-09-09 13:44:00,282,1.0,1,0
12434,170,1,286.25,77,17.890625,16,1,2011-03-24 13:05:00,2011-03-24 13:05:00,1,1.0,1,0
12435,178,1,3978.9900000000002,879,209.4205263157895,19,1,2011-03-17 07:40:00,2011-03-17 07:40:00,1,1.0,1,0
12436,10,1,509.01,211,31.813125,16,1,2011-09-01 12:09:00,2011-09-01 12:09:00,1,1.0,0,1
12437,8,11,2811.41,1797,27.5628431372549,63,9,2011-01-12 14:13:00,2011-09-02 13:15:00,232,1.2222222222222223,1,0
12438,50,1,890.0699999999999,586,18.16469387755102,49,1,2011-07-22 13:29:00,2011-07-22 13:29:00,1,1.0,1,0
