StockCode,Description,avg_daily_units,units_60d,revenue_60d,active_sales_days,avg_unit_price,forecast_30d_units,safety_stock_units,recommended_reorder_qty,priority
23843,"PAPER CRAFT , LITTLE BIRDIE",1349.9166666666667,80995,168469.6,1,2.08,35634.0,9449.0,45083.0,High
23084,RABBIT NIGHT LIGHT,365.3666666666667,21922,41364.17,40,2.009968,9645.0,2558.0,12203.0,High
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,159.45,9567,26187.65,53,2.939459901800327,4209.0,1116.0,5325.0,High
22423,REGENCY CAKESTAND 3 TIER,32.833333333333336,1970,23106.21,53,12.774161676646706,867.0,230.0,1097.0,High
M,Manual,94.76666666666667,5686,21112.49,36,230.08666666666667,2502.0,663.0,3165.0,High
85123A,WHITE HANGING HEART T-LIGHT HOLDER,117.85,7071,19867.57,52,2.946691542288557,3111.0,825.0,3936.0,High
POST,POSTAGE,13.866666666666667,832,19266.45,49,23.660367892976588,366.0,97.0,463.0,High
85099B,JUMBO BAG RED RETROSPOT,154.55,9273,17554.29,53,2.0775335120643432,4080.0,1082.0,5162.0,High
79321,CHILLI LIGHTS,50.916666666666664,3055,15383.390000000001,51,5.793378378378378,1344.0,356.0,1700.0,High
23355,HOT WATER BOTTLE KEEP CALM,55.0,3300,15106.2,53,4.868619246861925,1452.0,385.0,1837.0,High
22197,POPCORN HOLDER,310.6333333333333,18638,14092.76,53,0.8477777777777777,8200.0,2174.0,10374.0,High
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,84.13333333333334,5048,13789.640000000001,53,2.9536626506024097,2221.0,589.0,2810.0,High
21137,BLACK RECORD COVER FRAME,65.76666666666667,3946,13538.99,46,3.77873786407767,1736.0,460.0,2196.0,High
84879,ASSORTED COLOUR BIRD ORNAMENT,141.18333333333334,8471,13528.789999999999,53,1.6803170028818442,3727.0,988.0,4715.0,High
22112,CHOCOLATE HOT WATER BOTTLE,43.03333333333333,2582,11747.24,53,4.865044776119403,1136.0,301.0,1437.0,High
23344,JUMBO BAG 50'S CHRISTMAS ,96.58333333333333,5795,11413.4,52,2.064077922077922,2550.0,676.0,3226.0,High
23284,DOORMAT KEEP CALM AND COME IN,24.183333333333334,1451,11032.99,52,8.237730769230769,638.0,169.0,807.0,High
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,80.45,4827,10849.65,51,2.620869565217391,2124.0,563.0,2687.0,High
DOT,DOTCOM POSTAGE,0.15,9,9723.11,9,1080.3455555555556,4.0,1.0,5.0,High
23203,JUMBO BAG VINTAGE DOILY ,81.0,4860,9466.800000000001,53,2.0643217665615143,2138.0,567.0,2705.0,High
